Data calculated via Fourier domain filtering

Frequency:	3.1600000

Number of harmonics used:	15

Number of cycles in input:	1

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

11.9134340	-29.2682390	-23.9112586	-0.9476916	-0.3024725	-0.1019363	-0.1072246	0.6024893	-0.7908916
11.7336232	-29.3407875	-23.9437228	-0.9504529	-0.2911233	-0.1090252	-0.0951325	0.6062708	-0.7895477
11.5533706	-29.4122313	-23.9784478	-0.9530403	-0.2796986	-0.1161154	-0.0829775	0.6099158	-0.7881100
11.3726830	-29.4825678	-24.0154496	-0.9554521	-0.2682019	-0.1232030	-0.0707645	0.6134220	-0.7865786
11.1915673	-29.5517943	-24.0547436	-0.9576867	-0.2566365	-0.1302839	-0.0584986	0.6167870	-0.7849534
11.0100302	-29.6199081	-24.0963454	-0.9597426	-0.2450062	-0.1373542	-0.0461847	0.6200085	-0.7832346
10.8280785	-29.6869068	-24.1402706	-0.9616185	-0.2333146	-0.1444098	-0.0338280	0.6230847	-0.7814225
10.6457192	-29.7527878	-24.1865346	-0.9633134	-0.2215653	-0.1514470	-0.0214336	0.6260136	-0.7795175
10.4629591	-29.8175486	-24.2351526	-0.9648263	-0.2097622	-0.1584617	-0.0090067	0.6287935	-0.7775201
10.2798051	-29.8811868	-24.2861400	-0.9661565	-0.1979090	-0.1654501	0.0034475	0.6314229	-0.7754310
10.0962641	-29.9437000	-24.3395120	-0.9673034	-0.1860096	-0.1724083	0.0159239	0.6339003	-0.7732508
9.9123429	-30.0050858	-24.3952837	-0.9682666	-0.1740679	-0.1793325	0.0284173	0.6362245	-0.7709805
9.7280485	-30.0653419	-24.4534704	-0.9690459	-0.1620878	-0.1862189	0.0409225	0.6383943	-0.7686209
9.5433879	-30.1244661	-24.5140871	-0.9696413	-0.1500733	-0.1930639	0.0534343	0.6404089	-0.7661731
9.3583680	-30.1824562	-24.5771488	-0.9700529	-0.1380281	-0.1998639	0.0659476	0.6422675	-0.7636382
9.1729957	-30.2393098	-24.6426706	-0.9702810	-0.1259564	-0.2066151	0.0784573	0.6439695	-0.7610176
8.9872781	-30.2950250	-24.7106675	-0.9703260	-0.1138621	-0.2133141	0.0909583	0.6455144	-0.7583125
8.8012221	-30.3495996	-24.7811544	-0.9701885	-0.1017490	-0.2199576	0.1034456	0.6469019	-0.7555243
8.6148347	-30.4030316	-24.8541463	-0.9698694	-0.0896211	-0.2265421	0.1159142	0.6481318	-0.7526547
8.4281230	-30.4553189	-24.9296580	-0.9693696	-0.0774824	-0.2330644	0.1283594	0.6492042	-0.7497051
8.2410940	-30.5064595	-25.0077046	-0.9686902	-0.0653366	-0.2395213	0.1407762	0.6501192	-0.7466773
8.0537547	-30.5564517	-25.0883008	-0.9678324	-0.0531877	-0.2459097	0.1531600	0.6508772	-0.7435731
7.8661122	-30.6052934	-25.1714616	-0.9667975	-0.0410393	-0.2522268	0.1655062	0.6514785	-0.7403941
7.6781736	-30.6529828	-25.2572019	-0.9655872	-0.0288954	-0.2584695	0.1778102	0.6519238	-0.7371423
7.4899459	-30.6995181	-25.3455366	-0.9642030	-0.0167594	-0.2646352	0.1900677	0.6522139	-0.7338197
7.3014361	-30.7448976	-25.4364806	-0.9626466	-0.0046352	-0.2707212	0.2022743	0.6523494	-0.7304282
7.1126515	-30.7891196	-25.5300488	-0.9609201	0.0074738	-0.2767250	0.2144258	0.6523315	-0.7269699
6.9235991	-30.8321824	-25.6262562	-0.9590253	0.0195640	-0.2826441	0.2265184	0.6521612	-0.7234467
